Driver,Stint,Compound,LapCountUsed,StartLap,EndLap,StartTyreLife,EndTyreLife,DegradationSecondsPerLap,EstimatedBaseLapTime,MeanLapTime,MedianLapTime
BOT,1.0,ULTRASOFT,26,2.0,27.0,4.0,29.0,0.024579487179486038,78.24593846153849,78.6515,78.592
BOT,2.0,SOFT,22,30.0,51.0,2.0,23.0,0.30479898362506747,75.21651270468669,79.0265,77.757
BOT,3.0,ULTRASOFT,10,58.0,67.0,6.0,15.0,-0.1324303030303032,77.76421818181818,76.3737,76.345
HAM,1.0,SOFT,40,2.0,41.0,1.0,40.0,-0.05204352720450277,79.6833423076923,78.61645,78.20750000000001
HAM,2.0,ULTRASOFT,18,44.0,67.0,2.0,25.0,-0.18616377649325536,80.22821001926782,77.65294444444446,76.485
RAI,1.0,ULTRASOFT,12,2.0,13.0,4.0,15.0,0.0384020979020971,78.2637634032634,78.62858333333332,78.6885
RAI,2.0,SOFT,36,16.0,51.0,2.0,37.0,0.14093320463320347,76.21305250965251,78.96125,78.1215
RAI,3.0,ULTRASOFT,10,58.0,67.0,5.0,14.0,-0.12027272727273192,77.65469090909093,76.5121,76.412
VET,1.0,ULTRASOFT,22,3.0,24.0,4.0,25.0,0.02618802936194485,78.06904630152455,78.44877272727273,78.5035
VET,2.0,SOFT,25,27.0,51.0,2.0,26.0,0.19977769230769166,76.16987230769232,78.96676,78.204
