Driver,Stint,Compound,StartLap,EndLap,LapCount,StartTyreLife,EndTyreLife,MeanLapTime,MedianLapTime,BestLapTime,StintLength
BOT,1.0,ULTRASOFT,2.0,27.0,26,4.0,29.0,78.6515,78.592,78.092,26.0
BOT,2.0,SOFT,30.0,51.0,22,2.0,23.0,79.0265,77.757,76.956,22.0
BOT,3.0,ULTRASOFT,58.0,67.0,10,6.0,15.0,76.3737,76.345,75.721,10.0
BOT,,nan,1.0,1.0,1,,,81.972,81.972,81.972,1.0
HAM,1.0,SOFT,2.0,41.0,40,1.0,40.0,78.61645,78.20750000000001,77.523,40.0
HAM,2.0,ULTRASOFT,44.0,67.0,18,2.0,25.0,77.65294444444444,76.485,75.545,24.0
HAM,,nan,1.0,1.0,1,,,90.059,90.059,90.059,1.0
RAI,1.0,ULTRASOFT,2.0,13.0,12,4.0,15.0,78.62858333333334,78.6885,78.2,12.0
RAI,2.0,SOFT,16.0,51.0,36,2.0,37.0,78.96125,78.1215,77.152,36.0
RAI,3.0,ULTRASOFT,58.0,67.0,10,5.0,14.0,76.5121,76.412,75.99,10.0
RAI,,nan,1.0,1.0,1,,,83.317,83.317,83.317,1.0
VET,1.0,ULTRASOFT,3.0,24.0,22,4.0,25.0,78.44877272727273,78.5035,77.777,22.0
VET,2.0,SOFT,27.0,51.0,25,2.0,26.0,78.96676000000001,78.204,77.29,25.0
VET,,nan,1.0,2.0,2,,,79.38149999999999,79.38149999999999,77.942,2.0
