Driver,Stint,Compound,LapCountUsed,StartLap,EndLap,StartTyreLife,EndTyreLife,DegradationSecondsPerLap,EstimatedBaseLapTime,MeanLapTime,MedianLapTime
LEC,1.0,MEDIUM,14,1.0,14.0,1.0,14.0,-0.07851428571428422,85.69771428571427,85.10885714285713,84.828
LEC,2.0,HARD,37,17.0,53.0,2.0,38.0,-0.008320293978188903,83.79135182550971,83.62494594594595,83.624
NOR,1.0,MEDIUM,13,1.0,13.0,1.0,13.0,-0.1691208791208825,86.32776923076928,85.14392307692307,84.674
NOR,2.0,HARD,16,16.0,31.0,2.0,17.0,-0.05458235294117464,84.34715735294114,83.828625,83.63300000000001
NOR,3.0,HARD,20,34.0,53.0,2.0,21.0,-0.056423308270673565,83.34921804511274,82.70034999999999,82.557
PIA,1.0,MEDIUM,15,1.0,15.0,1.0,15.0,-0.08101428571428691,85.5332476190476,84.88513333333331,84.67
PIA,2.0,HARD,20,18.0,37.0,2.0,21.0,-0.03354812030075276,83.88305338345866,83.49725000000001,83.4325
PIA,3.0,HARD,14,40.0,53.0,2.0,15.0,-0.005989010989010901,82.50926373626372,82.45835714285715,82.3775
SAI,1.0,MEDIUM,18,1.0,18.0,1.0,18.0,-0.05730753353972774,85.9232549019607,85.37883333333333,85.2085
SAI,2.0,HARD,33,21.0,53.0,2.0,34.0,0.003945521390374283,83.696556372549,83.76757575757576,83.722
VER,1.0,HARD,21,1.0,21.0,1.0,21.0,-0.0697506493506524,86.3275428571429,85.56028571428571,85.287
VER,2.0,HARD,17,24.0,40.0,2.0,18.0,0.009242647058823359,83.4958088235294,83.58823529411765,83.542
VER,3.0,MEDIUM,11,43.0,53.0,2.0,12.0,0.057409090909094976,82.37613636363632,82.778,82.585
