Driver,CleanLapCount,MeanLapTime,MedianLapTime,BestLapTime,DeltaToFastestMedian
PIA,49,83.62528571428572,83.48,81.943,0.0
NOR,49,83.71706122448981,83.601,81.432,0.12099999999999511
VER,49,84.25151020408163,83.621,81.745,0.14099999999999113
HAM,49,84.01516326530613,83.673,81.512,0.19299999999999784
LEC,51,84.03229411764706,83.718,83.226,0.23799999999999955
SAI,51,84.33625490196079,83.931,83.219,0.4509999999999934
RUS,49,84.13730612244898,84.521,82.036,1.0409999999999968
PER,49,84.64612244897958,84.537,82.971,1.0570000000000022
MAG,51,85.13849019607844,84.799,83.437,1.3190000000000026
ALO,49,84.89667346938775,84.891,82.944,1.4110000000000014
RIC,51,85.39272549019607,85.047,84.219,1.566999999999993
ALB,51,85.30811764705882,85.065,83.918,1.5849999999999937
COL,51,85.57829411764706,85.128,83.728,1.6479999999999961
STR,46,85.4994347826087,85.2305,82.232,1.7505000000000024
HUL,48,85.2756875,85.25800000000001,83.275,1.7780000000000058
GAS,48,85.522875,85.316,83.755,1.8359999999999985
ZHO,50,86.39211999999999,85.94399999999999,85.092,2.4639999999999844
OCO,50,85.95837999999999,86.019,84.343,2.5390000000000015
BOT,50,86.23104,86.31700000000001,83.609,2.8370000000000033
TSU,6,89.39166666666667,88.0055,86.198,4.525499999999994
