Driver,Stint,Compound,StartLap,EndLap,LapCount,StartTyreLife,EndTyreLife,MeanLapTime,MedianLapTime,BestLapTime,StintLength
LEC,1.0,MEDIUM,1.0,14.0,14,1.0,14.0,85.10885714285713,84.828,84.362,14.0
LEC,2.0,HARD,17.0,53.0,37,2.0,38.0,83.62494594594595,83.624,83.226,37.0
NOR,1.0,MEDIUM,1.0,13.0,13,1.0,13.0,85.14392307692309,84.674,84.391,13.0
NOR,2.0,HARD,16.0,31.0,16,2.0,17.0,83.828625,83.63300000000001,83.067,16.0
NOR,3.0,HARD,34.0,53.0,20,2.0,21.0,82.70035,82.557,81.432,20.0
PIA,1.0,MEDIUM,1.0,15.0,15,1.0,15.0,84.88513333333334,84.67,84.077,15.0
PIA,2.0,HARD,18.0,37.0,20,2.0,21.0,83.49725,83.4325,82.968,20.0
PIA,3.0,HARD,40.0,53.0,14,2.0,15.0,82.45835714285714,82.3775,81.943,14.0
SAI,1.0,MEDIUM,1.0,18.0,18,1.0,18.0,85.37883333333333,85.2085,84.642,18.0
SAI,2.0,HARD,21.0,53.0,33,2.0,34.0,83.76757575757576,83.722,83.219,33.0
VER,1.0,HARD,1.0,21.0,21,1.0,21.0,85.56028571428571,85.287,84.918,21.0
VER,2.0,HARD,24.0,40.0,17,2.0,18.0,83.58823529411765,83.542,83.424,17.0
VER,3.0,MEDIUM,43.0,53.0,11,2.0,12.0,82.778,82.585,81.745,11.0
