Driver,CleanLapCount,MeanLapTime,MedianLapTime,BestLapTime,DeltaToFastestMedian
ANT,66,76.60157575757576,76.6555,73.481,0.0
HAM,65,77.06150769230769,77.014,74.643,0.35849999999999227
LEC,57,77.19294736842104,77.07,75.964,0.41449999999998965
HAD,68,78.76308823529412,78.02799999999999,75.669,1.372499999999988
RUS,66,78.62380303030304,78.1275,75.773,1.4719999999999942
PIA,67,78.78692537313434,78.287,75.816,1.6315000000000026
GAS,67,78.94098507462687,78.461,75.497,1.805499999999995
NOR,43,78.99323255813952,78.478,77.67,1.822499999999991
LAW,66,78.93571212121212,78.732,75.754,2.076499999999996
LIN,67,79.96680597014925,79.275,75.908,2.619500000000002
SAI,58,80.1988275862069,79.28999999999999,78.022,2.6344999999999885
ALB,66,79.9774393939394,79.32249999999999,76.393,2.6669999999999874
STR,53,79.81201886792454,79.331,78.845,2.6754999999999995
ALO,65,80.08315384615385,79.414,77.12,2.758499999999998
OCO,65,79.99513846153846,79.422,76.914,2.7664999999999935
BOR,65,80.27749230769231,79.58,76.803,2.9244999999999948
COL,65,80.05649230769231,79.631,76.316,2.9754999999999967
HUL,66,80.14595454545454,79.75200000000001,76.332,3.096500000000006
PER,64,80.33884375,79.8115,76.891,3.1559999999999917
BEA,25,80.42612,80.485,78.475,3.829499999999996
BOT,13,81.60315384615384,81.293,80.494,4.637500000000003
