Driver,Stint,Compound,StartLap,EndLap,LapCount,StartTyreLife,EndTyreLife,MeanLapTime,MedianLapTime,BestLapTime,StintLength
LEC,1.0,MEDIUM,1.0,34.0,34,1.0,34.0,77.61382352941176,77.3255,76.84,34.0
LEC,2.0,HARD,37.0,59.0,23,2.0,24.0,76.57078260869565,76.474,75.964,23.0
NOR,1.0,MEDIUM,1.0,43.0,43,1.0,43.0,78.99323255813952,78.478,77.67,43.0
PIA,1.0,MEDIUM,1.0,47.0,47,1.0,47.0,78.75185106382979,78.468,77.18,47.0
PIA,2.0,HARD,50.0,58.0,9,2.0,10.0,77.055,76.863,76.541,9.0
PIA,4.0,SOFT,63.0,65.0,3,8.0,10.0,86.83666666666666,84.159,82.472,3.0
PIA,6.0,SOFT,71.0,78.0,8,7.0,14.0,77.92275,76.2225,75.816,8.0
SAI,1.0,MEDIUM,1.0,51.0,51,1.0,51.0,79.95092156862745,79.13,78.022,51.0
SAI,2.0,SOFT,54.0,57.0,4,2.0,5.0,79.31825,79.60499999999999,78.095,4.0
SAI,3.0,SOFT,62.0,64.0,3,10.0,12.0,85.58733333333333,84.082,81.093,3.0
